Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_3912,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
umuC,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3910,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3909,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3908,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3906,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3905,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3904,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3903,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
virB9,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
noc~~~noc_3,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
virB4,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3901,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3900,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
umuD_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3897,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3896,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3895,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3894,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3893,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3891,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3890,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3889,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
ssb_2,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3643,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3529,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3434,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3433,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3425,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3423,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3409,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3408,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3407,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3406,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3405,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3402,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3401,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3399,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3396,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3393,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3388,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3386,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3385,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3383,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3381,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3376,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3374,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3373,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3369,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3366,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3365,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3362,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3361,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3358,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3352,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3350,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3349,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
yscU_3~~~yscU_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3346,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3345,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3343,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3339,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3333,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3318,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3317,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
intA~~~intA_3,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3311,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3310,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
group_3309,0.007936507936507936,0,0,4,0.008128262490678597,Enriched in Weak,Accessory
spaP_2~~~spaP_1,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
group_3306,0.007936507936507936,Inf,5,0,0.008128262490678597,Enriched in Strong,Accessory
