Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
ttr,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3691,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3689,18,Core,FALSE,TRUE,TRUE,Both ponds
nadE_1,18,Core,TRUE,TRUE,TRUE,Both ponds
yfcD,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3688,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3687,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3686,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3685,18,Core,FALSE,TRUE,TRUE,Both ponds
soxC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
orn,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3684,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3683,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3682,18,Core,FALSE,TRUE,TRUE,Both ponds
tauD_1,18,Core,TRUE,TRUE,TRUE,Both ponds
ssuC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
rlmJ,18,Core,TRUE,TRUE,TRUE,Both ponds
fdhD,18,Core,TRUE,TRUE,TRUE,Both ponds
rmlC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
ureD,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3681,18,Core,FALSE,TRUE,TRUE,Both ponds
higB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3680,18,Core,FALSE,TRUE,TRUE,Both ponds
catD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
amiC_2,18,Core,TRUE,TRUE,TRUE,Both ponds
psiF,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3677,18,Core,FALSE,TRUE,TRUE,Both ponds
dnaK_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3676,18,Core,FALSE,TRUE,TRUE,Both ponds
maeB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3674,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3673,18,Core,FALSE,TRUE,TRUE,Both ponds
ynfM_2,18,Core,TRUE,TRUE,TRUE,Both ponds
davT_3,18,Core,TRUE,TRUE,TRUE,Both ponds
yofA_3,18,Core,TRUE,TRUE,TRUE,Both ponds
fadI_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3672,18,Core,FALSE,TRUE,TRUE,Both ponds
motA,18,Core,TRUE,TRUE,TRUE,Both ponds
waaA,18,Core,TRUE,TRUE,TRUE,Both ponds
oah1,18,Core,TRUE,TRUE,TRUE,Both ponds
opuAB_2,18,Core,TRUE,TRUE,TRUE,Both ponds
ureA,18,Core,TRUE,TRUE,TRUE,Both ponds
nrtD,18,Core,TRUE,TRUE,TRUE,Both ponds
dinF,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3671,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3670,18,Core,FALSE,TRUE,TRUE,Both ponds
puuB_2,18,Core,TRUE,TRUE,TRUE,Both ponds
oprD_6,18,Core,TRUE,TRUE,TRUE,Both ponds
glnH,18,Core,TRUE,TRUE,TRUE,Both ponds
ureB,18,Core,TRUE,TRUE,TRUE,Both ponds
purA,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3668,18,Core,FALSE,TRUE,TRUE,Both ponds
purD,18,Core,TRUE,TRUE,TRUE,Both ponds
lptB_1,18,Core,TRUE,TRUE,TRUE,Both ponds
nnr,18,Core,TRUE,TRUE,TRUE,Both ponds
psd,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3667,18,Core,FALSE,TRUE,TRUE,Both ponds
envC,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3665,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3663,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3662,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3661,18,Core,FALSE,TRUE,TRUE,Both ponds
hflX,18,Core,TRUE,TRUE,TRUE,Both ponds
hflC,18,Core,TRUE,TRUE,TRUE,Both ponds
nudE,18,Core,TRUE,TRUE,TRUE,Both ponds
blc,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3660,18,Core,FALSE,TRUE,TRUE,Both ponds
rpoE_2,18,Core,TRUE,TRUE,TRUE,Both ponds
cysW_3,18,Core,TRUE,TRUE,TRUE,Both ponds
envZ,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3659,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3657,18,Core,FALSE,TRUE,TRUE,Both ponds
tatB,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3655,18,Core,FALSE,TRUE,TRUE,Both ponds
glnQ_3,18,Core,TRUE,TRUE,TRUE,Both ponds
prmA,18,Core,TRUE,TRUE,TRUE,Both ponds
fis,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3652,18,Core,FALSE,TRUE,TRUE,Both ponds
yigZ,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3650,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3649,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3648,18,Core,FALSE,TRUE,TRUE,Both ponds
hslU,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3646,18,Core,FALSE,TRUE,TRUE,Both ponds
