Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_2291,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2290,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2289,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2284,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2275,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2274,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2265,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2245,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2231,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2230,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2218,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2217,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2216,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2195,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2194,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2160,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2159,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2158,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2157,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2143,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2131,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
