Sp1	Sp2	ANI	Lake1	Lake2	Comparison
CP5A	CP6A	99.0162	Conness Pond	Conness Pond	Same Pond
CP17D	643E	99.0175	Conness Pond	Sixty Lake	Different Pond
CP5A	CP8C	99.0188	Conness Pond	Conness Pond	Same Pond
CP17D	CP8C	99.0189	Conness Pond	Conness Pond	Same Pond
CP5A	628C	99.0195	Conness Pond	Sixty Lake	Different Pond
632B	631B	99.0204	Sixty Lake	Sixty Lake	Same Pond
631B	CP17D	99.0207	Sixty Lake	Conness Pond	Different Pond
CP8C	642A	99.0208	Conness Pond	Sixty Lake	Different Pond
CP6A	CP17D	99.0211	Conness Pond	Conness Pond	Same Pond
631B	632B	99.0222	Sixty Lake	Sixty Lake	Same Pond
CP5A	631B	99.0232	Conness Pond	Sixty Lake	Different Pond
632B	CP6A	99.0237	Sixty Lake	Conness Pond	Different Pond
642A	CP8C	99.0269	Sixty Lake	Conness Pond	Different Pond
642A	633A	99.0275	Sixty Lake	Sixty Lake	Same Pond
642A	CP6A	99.0287	Sixty Lake	Conness Pond	Different Pond
CP13A	643E	99.0309	Conness Pond	Sixty Lake	Different Pond
CP6A	632B	99.0329	Conness Pond	Sixty Lake	Different Pond
CP8C	CP15C	99.0334	Conness Pond	Conness Pond	Same Pond
CP8C	CP13A	99.0344	Conness Pond	Conness Pond	Same Pond
CP15C	631B	99.0345	Conness Pond	Sixty Lake	Different Pond
632B	CP8C	99.0346	Sixty Lake	Conness Pond	Different Pond
632B	649D1	99.0376	Sixty Lake	Sixty Lake	Same Pond
CP15C	CP6A	99.0388	Conness Pond	Conness Pond	Same Pond
642A	638A1	99.0396	Sixty Lake	Sixty Lake	Same Pond
CP6A	633A	99.04	Conness Pond	Sixty Lake	Different Pond
628C	CP5A	99.0401	Sixty Lake	Conness Pond	Different Pond
CP8C	633A	99.0423	Conness Pond	Sixty Lake	Different Pond
CP15C	CP8C	99.0437	Conness Pond	Conness Pond	Same Pond
CP6A	CP13A	99.0463	Conness Pond	Conness Pond	Same Pond
CP5A	633A	99.0481	Conness Pond	Sixty Lake	Different Pond
642A	649D1	99.0496	Sixty Lake	Sixty Lake	Same Pond
631B	CP5A	99.0498	Sixty Lake	Conness Pond	Different Pond
CP13A	638A1	99.05	Conness Pond	Sixty Lake	Different Pond
CP13A	CP6A	99.0501	Conness Pond	Conness Pond	Same Pond
642A	628C	99.0503	Sixty Lake	Sixty Lake	Same Pond
CP6A	CP5A	99.0503	Conness Pond	Conness Pond	Same Pond
CP17D	649D1	99.0504	Conness Pond	Sixty Lake	Different Pond
CP13A	631B	99.051	Conness Pond	Sixty Lake	Different Pond
CP8C	632B	99.0514	Conness Pond	Sixty Lake	Different Pond
CP5A	643E	99.0515	Conness Pond	Sixty Lake	Different Pond
CP17D	628C	99.0516	Conness Pond	Sixty Lake	Different Pond
CP15C	649D1	99.0524	Conness Pond	Sixty Lake	Different Pond
642A	631B	99.0526	Sixty Lake	Sixty Lake	Same Pond
632B	643E	99.053	Sixty Lake	Sixty Lake	Same Pond
CP6A	643E	99.0552	Conness Pond	Sixty Lake	Different Pond
CP13A	633A	99.0561	Conness Pond	Sixty Lake	Different Pond
CP17D	633A	99.0565	Conness Pond	Sixty Lake	Different Pond
631B	638A1	99.0578	Sixty Lake	Sixty Lake	Same Pond
638A1	CP8C	99.0588	Sixty Lake	Conness Pond	Different Pond
631B	643E	99.0592	Sixty Lake	Sixty Lake	Same Pond
CP15C	643E	99.0592	Conness Pond	Sixty Lake	Different Pond
633A	CP15C	99.0598	Sixty Lake	Conness Pond	Different Pond
638A1	CP15C	99.0632	Sixty Lake	Conness Pond	Different Pond
CP17D	638A1	99.0635	Conness Pond	Sixty Lake	Different Pond
CP15C	628C	99.0645	Conness Pond	Sixty Lake	Different Pond
CP15C	633A	99.0651	Conness Pond	Sixty Lake	Different Pond
CP5A	638A1	99.0651	Conness Pond	Sixty Lake	Different Pond
CP6A	CP15C	99.0651	Conness Pond	Conness Pond	Same Pond
638A1	CP5A	99.0679	Sixty Lake	Conness Pond	Different Pond
CP13A	CP8C	99.0681	Conness Pond	Conness Pond	Same Pond
CP15C	638A1	99.0686	Conness Pond	Sixty Lake	Different Pond
643E	CP5A	99.0687	Sixty Lake	Conness Pond	Different Pond
633A	642A	99.0692	Sixty Lake	Sixty Lake	Same Pond
638A1	642A	99.0698	Sixty Lake	Sixty Lake	Same Pond
638A1	CP17D	99.0717	Sixty Lake	Conness Pond	Different Pond
CP8C	638A1	99.0724	Conness Pond	Sixty Lake	Different Pond
