Gene	KO
gmhA	K03271
hldE	K03272
gmhB	K03273
clcB	K03281
mscL	K03282
corA	K03284
group_824	K03284
oprF	K03286
ompA_1	K03286
proP_1	K03288
gabP_1	K03293
proY_2	K03293
group_3630	K03297
emrE	K03297
gntT_1	K03299
gntT_2	K03299
gntT_3	K03299
citN_1	K03300
citN_3	K03300
glcA	K03303
pitA_1	K03306
opuE	K03307
putP_2	K03307
alsT	K03310
brnQ	K03311
gltS_1~~~gltS_2~~~gltS	K03312
nhaA	K03313
nhaP	K03316
amtB_1	K03320
amtB_2	K03320
group_327	K03321
dauA_2	K03321
group_3316	K03321
mntH	K03322
group_3840	K03324
group_3575	K03325
iolE	K03335
iolD	K03336
iolB	K03337
iolC	K03338
catA	K03381
ahpC_1	K03386
ahpF	K03387
cobI	K03394
group_728	K03405
group_155	K03406
group_246	K03406
group_137	K03406
pctA_1	K03406
mcpU_1	K03406
mcpS	K03406
mcpQ_1	K03406
mcpQ_2	K03406
group_3563	K03406
group_247	K03406
group_149	K03406
mcpP_1	K03406
bdlA_2	K03406
ctpH	K03406
bdlA_3	K03406
mcpP_2	K03406
mcpU_2	K03406
group_3795	K03406
bdlA_4	K03406
group_158	K03406
group_262	K03406
mcpA	K03406
group_248	K03406
group_3529	K03406
group_2979	K03406
bdlA_1~~~bdlA_4	K03406
pctA_2	K03406
group_3202	K03406
group_116	K03407
cheW	K03408
group_3243	K03408
cheB1	K03412
cheB_4	K03412
cheY	K03413
cheZ	K03414
cheV_1	K03415
cheV_2	K03415
cheV_3	K03415
prpB_1	K03417
yjjV	K03424
ycfH	K03424
tatD	K03424
nudC_2	K03426
group_85	K03427
group_256	K03427
group_154	K03427
group_156	K03427
phnW	K03430
glmM	K03431
cra	K03435
rsmH	K03438
trmB	K03439
mscS	K03442
emrB_1	K03446
emrB_2	K03446
emrY	K03446
group_513	K03449
yycB_1	K03449
yycB_4	K03449
panS	K03453
kefC_1	K03455
pucI_1	K03457
pucI_2	K03457
group_3598	K03457
group_3668	K03457
pucI_3	K03457
group_318	K03457
group_4114	K03457
catC	K03464
ftsK	K03466
group_705	K03466
rnhA	K03469
rnhB	K03470
epd	K03472
pdxB	K03473
pdxJ	K03474
treR	K03486
mnmG	K03495
soj_1	K03496
soj_2	K03496
parA	K03496
group_4130	K03496
group_4175	K03496
group_4210	K03496
soj_3	K03496
