Gene	KO
group_3935	N/A
group_3400	N/A
group_3401	N/A
group_3403	N/A
group_3404	N/A
bin3	N/A
group_3937	N/A
group_3405	N/A
group_3406	N/A
group_3889	N/A
group_3407	N/A
group_3408	N/A
group_3409	N/A
group_3410	N/A
group_3411	N/A
group_3412	N/A
group_3413	N/A
group_3414	N/A
group_3415	N/A
group_3416	N/A
group_3417	N/A
group_3418	N/A
group_3497	N/A
group_3419	N/A
group_3420	N/A
group_3421	N/A
group_3422	N/A
group_3423	N/A
group_3424	N/A
group_3425	N/A
group_3426	N/A
group_3428	N/A
group_3429	N/A
group_3432	N/A
group_3433	N/A
group_3434	N/A
group_3435	N/A
group_3436	N/A
group_3437	N/A
group_3438	N/A
group_3439	N/A
group_3440	N/A
group_3441	N/A
group_3442	N/A
